execution_id,timestamp,pool,dataset,start_date,end_date,bin_step,fee_rate,pool_share,bin_tvl,deposit,position_bins,strategy,rebalance_cost,fees,il,costs,net_pnl,net_apy,gross_fee_apy,break_even_fee_rate,time_in_range,rebalance_count,max_drawdown
cf68bbf3c519,2026-08-02T06:24:04Z,SOL/USDC,data/sol_1m_1y.parquet,2025-07-28,2026-07-28,4,0.0004,0.08,13500,1000,69,passive,0.001,297.5014969542379,-331.26827626665676,0.0,-33.76677931241886,-0.033778347239555695,0.2976034159322969,0.0004454004832353673,2.5600472003349704,0,365.5287257127619
cf68bbf3c519,2026-08-02T06:24:04Z,SOL/USDC,data/sol_1m_1y.parquet,2025-07-28,2026-07-28,4,0.0004,0.08,13500,1000,69,rebalancing,0.001,831.9506725246006,-603.669621505125,107.38073862697053,120.90031239250516,0.12094173079346182,0.8322356847454038,0.0003418714034928891,100.0,2236,263.8177075220499
0e025a9af013,2026-08-02T16:45:05Z,SOL/USDC,data/sol_1m_1y.parquet,2025-09-01,2025-09-30,4,0.0004,0.08,13500.0,1000.0,69,passive,0.001,89.56625666936309,-17.471084105508794,0.0,72.09517256385436,0.8783575415396456,1.0912131036697628,7.802529548601726e-05,17.853086391136042,0,131.6029528142766
0e025a9af013,2026-08-02T16:45:05Z,SOL/USDC,data/sol_1m_1y.parquet,2025-09-01,2025-09-30,4,0.0004,0.08,13500.0,1000.0,69,rebalancing,0.001,577.8230090817827,-436.1224343159275,54.6388008545901,87.06177391126505,1.06070022409682,7.03979447795334,0.0003397311823566079,100.0,144,32.624393391145645
0c49852c1b86,2026-08-02T16:45:06Z,SOL/USDC,data/sol_1m_1y.parquet,2025-09-01,2025-09-30,10,0.001,0.08,13500.0,1000.0,69,passive,0.001,488.38026361900074,-11.36508401283686,0.0,477.0151796061639,5.811621853944038,5.950086149095913,2.327097317286983e-05,33.18884587747154,0,111.58889011767712
0c49852c1b86,2026-08-02T16:45:06Z,SOL/USDC,data/sol_1m_1y.parquet,2025-09-01,2025-09-30,10,0.001,0.08,13500.0,1000.0,69,rebalancing,0.001,1789.837638009518,-179.29340827194662,9.761655094648654,1600.7825746429228,19.502823792501804,21.806139462177576,0.0001056269347295902,100.0,21,9.094065187724482
6ba1b07e4099,2026-08-02T16:45:07Z,SOL/USDC,data/sol_1m_1y.parquet,2025-09-01,2025-09-30,20,0.002,0.08,13500.0,1000.0,69,passive,0.001,1579.109667093437,-6.0118139354080995,0.0,1573.0978531580288,19.16553236178716,19.23877612999955,7.614181662852648e-06,50.154145708258966,0,92.74528518299462
6ba1b07e4099,2026-08-02T16:45:07Z,SOL/USDC,data/sol_1m_1y.parquet,2025-09-01,2025-09-30,20,0.002,0.08,13500.0,1000.0,69,rebalancing,0.001,3635.280629265577,-139.22138541916064,3.8501353127140314,3492.2091085337015,42.54665184963987,44.289735952851984,7.871277918963793e-05,100.0,8,8.636831663971407
ab8cc2113e9a,2026-08-02T16:45:09Z,SOL/USDC,data/sol_1m_1y.parquet,2026-02-01,2026-02-28,4,0.0004,0.08,13500.0,1000.0,69,passive,0.001,41.31875579346032,-87.0301831825808,0.0,-45.711427389120445,-0.5961028714978713,0.5388199490148305,0.0008425247228412954,4.016871355911177,0,157.46927708705596
ab8cc2113e9a,2026-08-02T16:45:09Z,SOL/USDC,data/sol_1m_1y.parquet,2026-02-01,2026-02-28,4,0.0004,0.08,13500.0,1000.0,69,rebalancing,0.001,484.2275565882065,-610.4703833444871,71.9620129725864,-198.204839728867,-2.5847032318941197,6.314601258969392,0.000563728674283131,100.0,303,226.91157618389718
